area ,short names ,1965,1970,1975,1980,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GRC,water_withdrawal,,57.01,83.63,,,,83.7,,,,,,,98.28,,,,,87.41,,,,,90.94,,,,,87.83,,,,,83.37,,,,80.44,
GRD,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89,,,
GTM,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.74,,,,,,,,,,,
GUY,water_withdrawal,,,,,,,,,,,,,,98.49,,,,,,,,97.56,,,,,,,,,,94.33,,,,,,,
HND,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,
HRV,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,1.029,,,,,,,,,,1.285,,,,,10.63
HTI,water_withdrawal,,,,,,,,,,,,,94.36,,,,90.97,,,,,,,,,,,,,,83.38,,,,,,,,
HUN,water_withdrawal,,22.32,22.45,,,,35.99,,,,,,,13.3,,,,7.581,,,,,,11.88,,,,,5.469,,,,,6.375,,,,,11.52
IDN,water_withdrawal,,,,,,,,,,,,93.14,,,,,,,,,,81.87,,,,,,,,,,,,,,,,85.22,
IND,water_withdrawal,,,93,93.93,,,,94.09,,,,92,,,,,,,,,,91.48,,,,,,,,,,90.41,,,,,,,
IRL,water_withdrawal,,,,12.15,,,,,,,,,,,,15.22,,,,,,,,,,,,,,,,,,,,,,,
IRN,water_withdrawal,,,,,,,,,,,,,,,,,91.57,,,,,,93.37,,,92.18,,,,,,,,,,,,,
IRQ,water_withdrawal,,,97.46,97.48,,,97.51,,,,,92.01,,,,,83.99,,,,,78.79,,,,,,,,,,,,,,,,91.49,
ISL,water_withdrawal,,,,3.704,,,3.571,,,,,,,41.92,,,,,,,,,,42.42,,42.42,,,,,,,,0.1019,,,,0.1154,
ISR,water_withdrawal,,79.86,76.1,72.65,,,,,,,,67.41,,,,,,,,,,,,55.76,,57.78,,,,,,57.32,,,,,,,54.21
ITA,water_withdrawal,,61.54,,,,,,,,,,,,,,,,,,,,44.07,,,,,,,,,,,,,,,49.72,,
JAM,water_withdrawal,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,55.17,,,,,,,,,8.419,
JOR,water_withdrawal,,,64.97,70.47,,,74.47,,,,,,,74.9,,,,,,,,,,64.38,,,,,63.2,,,,,54.42,,,,53.13,
JPN,water_withdrawal,,,,65.76,,,,,,,,,,64.11,,,,,65.99,,,,,66.21,,,,,65.68,,66.83,,,,,,,,
KAZ,water_withdrawal,,,,,,,,,,,,,,,,,81.41,,,,,,,68.12,,,,,63.39,,,,,58.39,,,,,61.84
KEN,water_withdrawal,,,,,,,,,,,,76.43,,,,,,,,,,,,,75.43,,,,,,,59.26,,,,,,80.21,
KGZ,water_withdrawal,,,,,,,,,,,,,,,,94.11,,,,,,93.75,,,,,,93.01,,,,,,,,,,,
KHM,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,
KNA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.282,,,,,
KOR,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,76.35,,,,,,,,,,,,
KWT,water_withdrawal,,,,,,,,,,,,,,,,60.22,,,,,,,,53.87,,,,,,,,,,,,,,,
LAO,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41,,,,,,,,,,,,
LBN,water_withdrawal,,,84.95,,,,,,,,,,,,,67.67,,,,,,64.2,,,,,59.54,,,,,,,,,,38.04,,
LBR,water_withdrawal,,,,,,,,,60,,,,,,,,,,,,,9.404,,,,,,,,,,,,,,,,,
LBY,water_withdrawal,,,,,,,63.08,,,,,89.92,,,,86.96,,,,,,82.85,,,,,,,,,,,,83.19,,,,,
LCA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86,,,,,,,,,,
LKA,water_withdrawal,,,,,,,,,,,,96.01,,,,,,,,,,92.24,,,,,87.34,,,,,,,,,,,,
LSO,water_withdrawal,,,,,,,,,56,,,,,,,,,,,,,8.676,,,,,,,,,,,,,,,,,
LTU,water_withdrawal,,,,,,,,,,,,,,,,,0.1838,,,,,,1.915,,,,,,3.605,,,,,,,,,,22.74
LUX,water_withdrawal,,,,,,,,,,,,,,,,,0.354,,,,0.3306,,,,,,,,,,,,,0.4494,,,,,0.8772
LVA,water_withdrawal,,,,,,,,,,,,,,,,,8.612,,,,,,,20.76,,,,,23.19,,,,,15.68,,,,,33.96
MAR,water_withdrawal,,,,,,,,,,,,,,92.21,,,87.78,,,,,,,74.56,,,,,,,,87.79,,,,,,,
MCO,water_withdrawal,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,,0,,,,,,,,
MDA,water_withdrawal,,,,,,,,,,,,,,39.48,,,,,,,,,,,,,,,3.38,,,,,,,,,,5
